,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Leningradskiy,100,RU,1605046506,96,69.38,178.42,24.84,17.6
1,Kapaa,40,US,1605046349,74,22.08,-159.32,82.4,18.34
2,Port Alfred,94,ZA,1605046509,77,-33.59,26.89,60.21,7.31
3,Taltal,25,CL,1605046220,67,-25.4,-70.48,62.13,5.08
4,Ponta do Sol,75,PT,1605046512,72,32.67,-17.1,68.0,2.24
5,Jega,31,NG,1605046513,26,12.22,4.38,78.04,8.08
6,Upernavik,100,GL,1605046515,90,72.79,-56.15,10.53,5.57
7,Rikitea,0,PF,1605046517,79,-23.12,-134.97,74.07,17.98
8,Butaritari,36,KI,1605046518,78,3.07,172.79,82.04,8.77
9,Aksarka,62,RU,1605046520,93,66.56,67.8,7.56,5.55
10,Bengkulu,92,ID,1605046521,86,-3.8,102.27,75.58,4.68
11,Torbay,75,CA,1605046523,100,47.67,-52.73,50.0,32.21
12,Mataura,80,NZ,1605046525,80,-46.19,168.86,55.0,5.01
13,Ribeira Grande,40,PT,1605046527,63,38.52,-28.7,60.8,9.17
14,Vardø,75,NO,1605046528,86,70.37,31.11,33.8,17.22
15,Barrow,75,US,1605046390,72,71.29,-156.79,15.8,25.28
16,Hobart,0,AU,1605046381,46,-42.88,147.33,72.0,11.41
17,São João da Barra,90,BR,1605046533,94,-21.64,-41.05,75.2,14.41
18,Bredasdorp,0,ZA,1605046535,81,-34.53,20.04,51.8,4.7
19,Punta Arenas,75,CL,1605046252,52,-53.15,-70.92,64.4,23.04
20,Ocampo,7,MX,1605046539,20,21.65,-101.5,76.06,1.19
21,Ushuaia,0,AR,1605046480,33,-54.8,-68.3,59.0,12.75
22,Kabompo,37,ZM,1605046542,64,-13.59,24.2,67.96,3.8
23,Sitka,1,US,1605046544,80,57.05,-135.33,39.2,2.17
24,Ilulissat,75,GL,1605046546,78,69.22,-51.1,17.6,9.17
25,Chui,92,UY,1605046547,90,-33.7,-53.46,60.8,10.02
26,Kysyl-Syr,100,RU,1605046549,93,63.9,122.76,3.83,7.38
27,Kendari,35,ID,1605046550,83,-3.94,122.5,77.52,1.9
28,Katherine,38,AU,1605046551,62,-14.47,132.27,86.0,8.05
